1;"Art.25, III, Lei 8.666/93";
2;"Art. 25, I, Lei 8.666/93";
3;"Art. 24, VIII, Lei nº 8.666/93";
4;"Art. 24, I, Lei 8.666/93";
5;"Art. 24, II, Lei 8.666/93";
6;"Art. 24, IV, Lei 8.666/93";
7;"Art. 24, V, Lei 8.666/93";
8;"Art. 24, VI, Lei 8.666/93";
9;"Art. 24, VII, Lei 8.666/93";
10;"Art. 24, III, Lei 8.666/93";
11;"Art. 24, IX, Lei 8.666/93";
12;"Art. 24, X, Lei 8.666/93";
13;"Art. 24, XI, Lei 8.666/93";
14;"Art. 24, XII, Lei 8.666/93";
15;"Art. 24, XIII, Lei 8.666/93";
16;"Art. 24, XIV, Lei 8.666/93";
17;"Art. 24, XV, Lei 8.666/93";
18;"Art. 24, XVI, Lei 8.666/93";
19;"Art. 24, XVII, Lei 8.666/93";
20;"Art. 24, XVIII, Lei 8.666/93";
21;"Art. 24, XIX, Lei 8.666/93";
22;"Art. 24, XX, Lei 8.666/93";
23;"Art. 24, XXI, Lei 8.666/93";
24;"Art. 24, XXII, Lei 8.666/93";
25;"Art. 24, XXIII, Lei 8.666/93";
26;"Art. 24, XXIV, Lei 8.666/93";
27;"Art. 24, XXV, Lei 8.666/93";
28;"Art. 24, XXVI, Lei 8.666/93";
29;"Art. 24, XXVII, Lei 8.666/93";
30;"Art. 24, XXVIII, Lei 8.666/93";
31;"Art. 24, XXIX, Lei 8.666/93";
32;"Art. 24, XXX, Lei 8.666/93";
33;"Art. 24, XXXI, Lei 8.666/93";
34;"Art. 24, Parágrafo Único, Lei 8.666/93";
35;"Art. 25, II, Lei 8.666/93";
