1;"Obras";
2;"Desapropriações";
3;"Projeto Básico";
4;"Projeto Executivo";
5;"Licenciamento Ambiental";
6;"Gerenciamento da Obra";
7;"Reforço Estrutural";
8;"Rebaixamento do Gramado";
9;"Cobertura";
10;"Outras Intervenções";
11;"Processo de Concessão";
12;"Assinatura do Contrato";
13;"Adequação de sistemas para Mobilidade";
14;"Aquisição de Analisadores de Espectro de Alta Performance";
15;"Aquisição de Antenas de Medição Direcionais para HF";
16;"Antenas de Medição Ominidirecionais para UHF e SHF";
17;"Automação de Sistemas de Monitoragem e Repositórios de Dados Técnicos da Fiscalização (CONE)";
18;"Backup de base de dados";
19;"Aquisição de Binóculos";
20;"Centro de Monitoração de Rede e Serviços";
21;"Contratação de Empresa Especializada em Informações Geoespaciais";
22;"Contratos de Serviços de Suporte Logístico para Controle de Atividades (Sala de Apoio)";
23;"Deslocamento de Instrumentos e Equipamentos para Locais do Evento";
24;"Equipamentos para Automação de Processos da Fiscalização";
25;"Equipamentos Portáteis de Radiolocalização e Radiomonitoragem";
26;"Garantia de Continuidade dos Negócios";
27;"Implantação do Centro Nacional de Sensoriamento Remoto";
28;"Integração da base de dados com a solução de Gestão de Espectro com uso de georref.";
29;"Modernização da Rede Nacional de Radiovideometria (RNR)";
30;"Monitoração de Radiação Não Ionizante (RNI)";
31;"Provimento de Suporte Operacional 24x7";
32;"Segurança da Informação e Comunicação";
33;"Segurança de Infraestruturas Críticas de Telecomunicações";
34;"Serviços de Hospedagem Centralizada para Pessoal Deslocado";
35;"Serviços de Manutenção do SGME";
36;"Serviços de Suporte em Telecomunicações para Equipes em Campo";
37;"Serviços de Transporte para Suporte a Equipes de Campo durante os Eventos";
38;"Sistema de Monitoramento de Satélites";
39;"Sistema de Monitoramento do Espectro e Radiolocalização em LF, MF e HF";
40;"Sistema de Monitoramento do Espectro VHF, UHF e SHF";
41;"Sistema Móvel/Transportável de Radiolocalização e Radiomonitoragem";
42;"Sistemas de Avaliação de Cobertura e Qualidade de Serviços Móveis, incluindo Banda Larga (8 unidades)";
43;"Sistemas de Avaliação de Cobertura e Qualidade de Serviços Móveis, incluindo Banda Larga (16 unidades)";
44;"Solução de Balanceamento de Carga";
45;"Solução de Gestão de Espectro com uso de Georreferenciamento";
46;"Solução de Virtualização";
47;"Tradução de Atos Normativos de Interesse";
48;"Unidade Móvel de Suporte e Fiscalização";
49;"Aquisição de Visualizadores Térmicos";
50;"Aquisição";
51;"Implementação";
52;"Software -  Geeorreferenciamento";
53;"Terminais Especializados";
54;"Segurança da Informação e Comunicação – IPS/IDS e firewall de aplicação";
